label	degree
Прокофьев	13
Чесноков	3
Шостакович	8
Танеев	17
Шнитке	3
Калинников	2
Направник	5
Мусоргский	16
Кабалевский	2
Свиридов	1
Даргомыжский	6
Березовский	1
Глиэр	7
Варламов	2
Римский-Корсаков	20
Глинка	14
Ляпунов	6
Стравинский	10
Рубинштейн	7
Рахманинов	11
Балакирев	16
Скрябин	11
Аренский	11
Лядов	10
Верстовский	2
Бородин	9
Глазунов	15
Гречанинов	5
Гурилёв	1
Кюи	10
Ипполитов-Иванов	5
Чайковский	24
Бортнянский	3
