Sergei Rachmaninoff	Sergei Prokofiev
Sergei Rachmaninoff	Sergei Taneyev
Nikolai Rimsky-Korsakov	Alexander Borodin
Nikolai Rimsky-Korsakov	Alexander Dargomyzhsky
Nikolai Rimsky-Korsakov	Alexander Glazunov
Nikolai Rimsky-Korsakov	Anatoly Lyadov
Nikolai Rimsky-Korsakov	Anton Rubinstein
Nikolai Rimsky-Korsakov	César Cui
Nikolai Rimsky-Korsakov	Igor Stravinsky
Nikolai Rimsky-Korsakov	Mikhail Glinka
Nikolai Rimsky-Korsakov	Mily Balakirev
Nikolai Rimsky-Korsakov	Modest Mussorgsky
Nikolai Rimsky-Korsakov	Pyotr Ilyich Tchaikovsky
Nikolai Rimsky-Korsakov	Sergei Prokofiev
Nikolai Rimsky-Korsakov	Sergei Rachmaninoff
Anton Rubinstein	Mikhail Glinka
Anton Rubinstein	Mily Balakirev
Anton Rubinstein	Pyotr Ilyich Tchaikovsky
Anton Rubinstein	Sergei Rachmaninoff
Georgy Sviridov	Dmitri Shostakovich
Alexander Scriabin	Alexander Glazunov
Alexander Scriabin	Anton Arensky
Alexander Scriabin	Dmitri Shostakovich
Alexander Scriabin	Igor Stravinsky
Alexander Scriabin	Mily Balakirev
Alexander Scriabin	Nikolai Rimsky-Korsakov
Alexander Scriabin	Sergei Prokofiev
Alexander Scriabin	Sergei Rachmaninoff
Alexander Scriabin	Sergei Taneyev
Igor Stravinsky	Alexander Glazunov
Igor Stravinsky	Alexander Scriabin
Igor Stravinsky	Dmitri Shostakovich
Igor Stravinsky	Nikolai Rimsky-Korsakov
Igor Stravinsky	Pyotr Ilyich Tchaikovsky
Igor Stravinsky	Sergei Prokofiev
Igor Stravinsky	Sergei Taneyev
Sergei Taneyev	Alexander Borodin
Sergei Taneyev	Alexander Glazunov
Sergei Taneyev	Alexander Scriabin
Sergei Taneyev	César Cui
Sergei Taneyev	Mikhail Glinka
Sergei Taneyev	Mily Balakirev
Sergei Taneyev	Modest Mussorgsky
Sergei Taneyev	Nikolai Rimsky-Korsakov
Sergei Taneyev	Pyotr Ilyich Tchaikovsky
Sergei Taneyev	Reinhold Glière
Sergei Taneyev	Sergei Rachmaninoff
Pyotr Ilyich Tchaikovsky	Alexander Borodin
Pyotr Ilyich Tchaikovsky	Alexander Glazunov
Pyotr Ilyich Tchaikovsky	Anatoly Lyadov
Pyotr Ilyich Tchaikovsky	Anton Rubinstein
Pyotr Ilyich Tchaikovsky	César Cui
Pyotr Ilyich Tchaikovsky	Eduard Nápravník
Pyotr Ilyich Tchaikovsky	Igor Stravinsky
Pyotr Ilyich Tchaikovsky	Mikhail Glinka
Pyotr Ilyich Tchaikovsky	Mily Balakirev
Pyotr Ilyich Tchaikovsky	Modest Mussorgsky
Pyotr Ilyich Tchaikovsky	Nikolai Rimsky-Korsakov
Pyotr Ilyich Tchaikovsky	Pyotr Ilyich Tchaikovsky
Pyotr Ilyich Tchaikovsky	Sergei Taneyev
Pavel Chesnokov	Mikhail Ippolitov-Ivanov
Pavel Chesnokov	Pyotr Ilyich Tchaikovsky
Pavel Chesnokov	Sergei Taneyev
Alfred Schnittke	Dmitri Shostakovich
Alfred Schnittke	Pyotr Ilyich Tchaikovsky
Alfred Schnittke	Sergei Rachmaninoff
Dmitri Shostakovich	Alexander Glazunov
Dmitri Shostakovich	Alexander Scriabin
Dmitri Shostakovich	Alfred Schnittke
Dmitri Shostakovich	Dmitry Kabalevsky
Dmitri Shostakovich	Igor Stravinsky
Dmitri Shostakovich	Modest Mussorgsky
Dmitri Shostakovich	Sergei Prokofiev
