Ляпунов Сергей Михайлович	Римский-Корсаков Николай Андреевич
Ляпунов Сергей Михайлович	Чайковский Петр Ильич
Ляпунов Сергей Михайлович	Танеев Сергей Иванович
Мусоргский Модест Петрович	Бородин Александр Порфирьевич
Мусоргский Модест Петрович	Даргомыжский Александр Сергеевич
Мусоргский Модест Петрович	Лядов Анатолий Константинович
Мусоргский Модест Петрович	Кюи Цезарь Антонович
Мусоргский Модест Петрович	Шостакович Дмитрий Дмитриевич
Мусоргский Модест Петрович	Глинка Михаил Иванович
Мусоргский Модест Петрович	Балакирев Милий Алексеевич
Мусоргский Модест Петрович	Римский-Корсаков Николай Андреевич
Мусоргский Модест Петрович	Чайковский Петр Ильич
Мусоргский Модест Петрович	Прокофьев Сергей Сергеевич
Направник Эдуард Францевич	Мусоргский Модест Петрович
Направник Эдуард Францевич	Римский-Корсаков Николай Андреевич
Направник Эдуард Францевич	Чайковский Петр Ильич
Прокофьев Сергей Сергеевич	Глазунов Александр Константинович
Прокофьев Сергей Сергеевич	Лядов Анатолий Константинович
Прокофьев Сергей Сергеевич	Шостакович Дмитрий Дмитриевич
Прокофьев Сергей Сергеевич	Стравинский Игорь Фёдорович
Прокофьев Сергей Сергеевич	Римский-Корсаков Николай Андреевич
Прокофьев Сергей Сергеевич	Чайковский Петр Ильич
Прокофьев Сергей Сергеевич	Глиэр Рейнгольд Морицевич
Прокофьев Сергей Сергеевич	Рахманинов Сергей Васильевич
Прокофьев Сергей Сергеевич	Танеев Сергей Иванович
Рахманинов Сергей Васильевич	Глазунов Александр Константинович
Рахманинов Сергей Васильевич	Скрябин Александр Николаевич
Рахманинов Сергей Васильевич	Рубинштейн Антон Григорьевич
Рахманинов Сергей Васильевич	Кюи Цезарь Антонович
Рахманинов Сергей Васильевич	Римский-Корсаков Николай Андреевич
Рахманинов Сергей Васильевич	Чайковский Петр Ильич
Рахманинов Сергей Васильевич	Прокофьев Сергей Сергеевич
Рахманинов Сергей Васильевич	Танеев Сергей Иванович
Римский-Корсаков Николай Андреевич	Бородин Александр Порфирьевич
Римский-Корсаков Николай Андреевич	Даргомыжский Александр Сергеевич
Римский-Корсаков Николай Андреевич	Глазунов Александр Константинович
Римский-Корсаков Николай Андреевич	Лядов Анатолий Константинович
Римский-Корсаков Николай Андреевич	Рубинштейн Антон Григорьевич
Римский-Корсаков Николай Андреевич	Кюи Цезарь Антонович
Римский-Корсаков Николай Андреевич	Стравинский Игорь Фёдорович
Римский-Корсаков Николай Андреевич	Глинка Михаил Иванович
Римский-Корсаков Николай Андреевич	Балакирев Милий Алексеевич
Римский-Корсаков Николай Андреевич	Мусоргский Модест Петрович
Римский-Корсаков Николай Андреевич	Чайковский Петр Ильич
Римский-Корсаков Николай Андреевич	Прокофьев Сергей Сергеевич
Римский-Корсаков Николай Андреевич	Рахманинов Сергей Васильевич
Рубинштейн Антон Григорьевич	Глинка Михаил Иванович
Рубинштейн Антон Григорьевич	Балакирев Милий Алексеевич
Рубинштейн Антон Григорьевич	Чайковский Петр Ильич
Рубинштейн Антон Григорьевич	Рахманинов Сергей Васильевич
Свиридов Георгий Васильевич	Шостакович Дмитрий Дмитриевич
Скрябин Александр Николаевич	Глазунов Александр Константинович
Скрябин Александр Николаевич	Аренский Антон Степанович
Скрябин Александр Николаевич	Шостакович Дмитрий Дмитриевич
Скрябин Александр Николаевич	Стравинский Игорь Фёдорович
Скрябин Александр Николаевич	Балакирев Милий Алексеевич
Скрябин Александр Николаевич	Римский-Корсаков Николай Андреевич
Скрябин Александр Николаевич	Прокофьев Сергей Сергеевич
Скрябин Александр Николаевич	Рахманинов Сергей Васильевич
Скрябин Александр Николаевич	Танеев Сергей Иванович
Стравинский Игорь Фёдорович	Глазунов Александр Константинович
Стравинский Игорь Фёдорович	Скрябин Александр Николаевич
Стравинский Игорь Фёдорович	Шостакович Дмитрий Дмитриевич
