Аренский Антон Степанович	Балакирев Милий Алексеевич
Аренский Антон Степанович	Глиэр Рейнгольд Морицевич
Аренский Антон Степанович	Рахманинов Сергей Васильевич
Аренский Антон Степанович	Римский-Корсаков Николай Андреевич
Аренский Антон Степанович	Рубинштейн Антон Григорьевич
Аренский Антон Степанович	Скрябин Александр Николаевич
Балакирев Милий Алексеевич	Бородин Александр Порфирьевич
Балакирев Милий Алексеевич	Глинка Михаил Иванович
Балакирев Милий Алексеевич	Кюи Цезарь Антонович
Балакирев Милий Алексеевич	Ляпунов Сергей Михайлович
Балакирев Милий Алексеевич	Мусоргский Модест Петрович
Балакирев Милий Алексеевич	Римский-Корсаков Николай Андреевич
Березовский Максим Созонтович	Бортнянский Дмитрий Степанович
Бородин Александр Порфирьевич	Балакирев Милий Алексеевич
Бородин Александр Порфирьевич	Глазунов Александр Константинович
Бородин Александр Порфирьевич	Глинка Михаил Иванович
Бородин Александр Порфирьевич	Кюи Цезарь Антонович
Бородин Александр Порфирьевич	Мусоргский Модест Петрович
Бородин Александр Порфирьевич	Прокофьев Сергей Сергеевич
Бородин Александр Порфирьевич	Римский-Корсаков Николай Андреевич
Бородин Александр Порфирьевич	Свиридов Георгий Васильевич
Бортнянский Дмитрий Степанович	Березовский Максим Созонтович
Варламов Александр Егорович	Бортнянский Дмитрий Степанович
Варламов Александр Егорович	Глинка Михаил Иванович
Глазунов Александр Константинович	Балакирев Милий Алексеевич
Глазунов Александр Константинович	Бородин Александр Порфирьевич
Глазунов Александр Константинович	Лядов Анатолий Константинович
Глазунов Александр Константинович	Римский-Корсаков Николай Андреевич
Глазунов Александр Константинович	Шостакович Дмитрий Дмитриевич
Глинка Михаил Иванович	Бородин Александр Порфирьевич
Глинка Михаил Иванович	Даргомыжский Александр Сергеевич
Глинка Михаил Иванович	Мусоргский Модест Петрович
Глинка Михаил Иванович	Римский-Корсаков Николай Андреевич
Глинка Михаил Иванович	Чайковский Петр Ильич
Глиэр Рейнгольд Морицевич	Аренский Антон Степанович
Глиэр Рейнгольд Морицевич	Глазунов Александр Константинович
Глиэр Рейнгольд Морицевич	Глинка Михаил Иванович
Глиэр Рейнгольд Морицевич	Ипполитов-Иванов Михаил Михайлович
Глиэр Рейнгольд Морицевич	Прокофьев Сергей Сергеевич
Глиэр Рейнгольд Морицевич	Рахманинов Сергей Васильевич
Глиэр Рейнгольд Морицевич	Римский-Корсаков Николай Андреевич
Глиэр Рейнгольд Морицевич	Танеев Сергей Иванович
Гречанинов Александр Тихонович	Балакирев Милий Алексеевич
Гречанинов Александр Тихонович	Лядов Анатолий Константинович
Гречанинов Александр Тихонович	Прокофьев Сергей Сергеевич
Гречанинов Александр Тихонович	Рахманинов Сергей Васильевич
Гречанинов Александр Тихонович	Римский-Корсаков Николай Андреевич
Гречанинов Александр Тихонович	Скрябин Александр Николаевич
Гречанинов Александр Тихонович	Стравинский Игорь Фёдорович
Гречанинов Александр Тихонович	Танеев Сергей Иванович
Гурилёв Александр Львович	Варламов Александр Егорович
Гурилёв Александр Львович	Глинка Михаил Иванович
Гурилёв Александр Львович	Даргомыжский Александр Сергеевич
Гурилёв Александр Львович	Мусоргский Модест Петрович
Даргомыжский Александр Сергеевич	Балакирев Милий Алексеевич
Даргомыжский Александр Сергеевич	Глинка Михаил Иванович
Даргомыжский Александр Сергеевич	Кюи Цезарь Антонович
Даргомыжский Александр Сергеевич	Мусоргский Модест Петрович
Даргомыжский Александр Сергеевич	Римский-Корсаков Николай Андреевич
Ипполитов-Иванов Михаил Михайлович	Римский-Корсаков Николай Андреевич
Кабалевский Дмитрий Борисович	Шостакович Дмитрий Дмитриевич
Кюи Цезарь Антонович	Балакирев Милий Алексеевич
Кюи Цезарь Антонович	Бородин Александр Порфирьевич
Кюи Цезарь Антонович	Глинка Михаил Иванович
Кюи Цезарь Антонович	Даргомыжский Александр Сергеевич
Кюи Цезарь Антонович	Мусоргский Модест Петрович
Кюи Цезарь Антонович	Римский-Корсаков Николай Андреевич
Лядов Анатолий Константинович	Мусоргский Модест Петрович
Лядов Анатолий Константинович	Прокофьев Сергей Сергеевич
Лядов Анатолий Константинович	Римский-Корсаков Николай Андреевич
Лядов Анатолий Константинович	Стравинский Игорь Фёдорович
Ляпунов Сергей Михайлович	Аренский Антон Степанович
Ляпунов Сергей Михайлович	Балакирев Милий Алексеевич
Ляпунов Сергей Михайлович	Глазунов Александр Константинович
Ляпунов Сергей Михайлович	Калинников Василий Сергеевич
Ляпунов Сергей Михайлович	Прокофьев Сергей Сергеевич
Ляпунов Сергей Михайлович	Рахманинов Сергей Васильевич
Ляпунов Сергей Михайлович	Стравинский Игорь Фёдорович
Ляпунов Сергей Михайлович	Танеев Сергей Иванович
Мусоргский Модест Петрович	Балакирев Милий Алексеевич
Мусоргский Модест Петрович	Бородин Александр Порфирьевич
Мусоргский Модест Петрович	Даргомыжский Александр Сергеевич
Мусоргский Модест Петрович	Кюи Цезарь Антонович
Мусоргский Модест Петрович	Направник Эдуард Францевич
Мусоргский Модест Петрович	Римский-Корсаков Николай Андреевич
Мусоргский Модест Петрович	Рубинштейн Антон Григорьевич
Мусоргский Модест Петрович	Стравинский Игорь Фёдорович
Мусоргский Модест Петрович	Шостакович Дмитрий Дмитриевич
Направник Эдуард Францевич	Даргомыжский Александр Сергеевич
Направник Эдуард Францевич	Мусоргский Модест Петрович
Направник Эдуард Францевич	Римский-Корсаков Николай Андреевич
Прокофьев Сергей Сергеевич	Глазунов Александр Константинович
Прокофьев Сергей Сергеевич	Глиэр Рейнгольд Морицевич
Прокофьев Сергей Сергеевич	Лядов Анатолий Константинович
Прокофьев Сергей Сергеевич	Рахманинов Сергей Васильевич
Прокофьев Сергей Сергеевич	Римский-Корсаков Николай Андреевич
Прокофьев Сергей Сергеевич	Стравинский Игорь Фёдорович
Прокофьев Сергей Сергеевич	Шостакович Дмитрий Дмитриевич
Рахманинов Сергей Васильевич	Аренский Антон Степанович
Рахманинов Сергей Васильевич	Глазунов Александр Константинович
Рахманинов Сергей Васильевич	Мусоргский Модест Петрович
Рахманинов Сергей Васильевич	Прокофьев Сергей Сергеевич
Рахманинов Сергей Васильевич	Римский-Корсаков Николай Андреевич
Рахманинов Сергей Васильевич	Свиридов Георгий Васильевич
Рахманинов Сергей Васильевич	Скрябин Александр Николаевич
Рахманинов Сергей Васильевич	Стравинский Игорь Фёдорович
Рахманинов Сергей Васильевич	Танеев Сергей Иванович
Рахманинов Сергей Васильевич	Шнитке Альфред Гарриевич
Рахманинов Сергей Васильевич	Шостакович Дмитрий Дмитриевич
Римский-Корсаков Николай Андреевич	Аренский Антон Степанович
Римский-Корсаков Николай Андреевич	Балакирев Милий Алексеевич
Римский-Корсаков Николай Андреевич	Бородин Александр Порфирьевич
Римский-Корсаков Николай Андреевич	Глазунов Александр Константинович
Римский-Корсаков Николай Андреевич	Глинка Михаил Иванович
Римский-Корсаков Николай Андреевич	Гречанинов Александр Тихонович
Римский-Корсаков Николай Андреевич	Даргомыжский Александр Сергеевич
Римский-Корсаков Николай Андреевич	Ипполитов-Иванов Михаил Михайлович
Римский-Корсаков Николай Андреевич	Кюи Цезарь Антонович
Римский-Корсаков Николай Андреевич	Лядов Анатолий Константинович
Римский-Корсаков Николай Андреевич	Мусоргский Модест Петрович
Римский-Корсаков Николай Андреевич	Прокофьев Сергей Сергеевич
Римский-Корсаков Николай Андреевич	Стравинский Игорь Фёдорович
Рубинштейн Антон Григорьевич	Балакирев Милий Алексеевич
Рубинштейн Антон Григорьевич	Глинка Михаил Иванович
Рубинштейн Антон Григорьевич	Даргомыжский Александр Сергеевич
Рубинштейн Антон Григорьевич	Рахманинов Сергей Васильевич
Свиридов Георгий Васильевич	Шостакович Дмитрий Дмитриевич
Скрябин Александр Николаевич	Аренский Антон Степанович
Скрябин Александр Николаевич	Балакирев Милий Алексеевич
Скрябин Александр Николаевич	Бородин Александр Порфирьевич
Скрябин Александр Николаевич	Глинка Михаил Иванович
Скрябин Александр Николаевич	Рахманинов Сергей Васильевич
Скрябин Александр Николаевич	Рубинштейн Антон Григорьевич
